risk,date_converted
3,2025-10-14
2,2025-10-27
3,2025-10-28
3,2025-11-03
1,2025-11-04
1,2025-11-09
1,2025-11-16
2,2025-11-17
3,2025-11-18
1,2025-11-19
3,2025-11-21
3,2025-11-21
1,2025-11-21
1,2025-12-01
3,2025-12-04
1,2025-12-05
3,2025-12-06
2,2025-12-06
1,2025-12-07
3,2025-12-12
3,2025-12-14
1,2025-12-15
1,2025-12-17
3,2025-12-18
1,2025-12-19
1,2025-12-22
3,2025-12-22
1,2025-12-24
2,2025-12-24
2,2025-12-25
1,2025-12-26
1,2025-12-27
2,2025-12-31
1,2025-03-08
1,2025-03-16
1,2025-04-06
1,2025-04-19
2,2025-05-11
1,2025-05-17
3,2025-05-18
1,2025-05-31
1,2025-05-25
1,2025-06-01
1,2025-06-01
1,2025-06-08
2,2025-06-15
1,2025-06-29
3,2025-07-06
1,2025-07-06
1,2025-07-13
1,2025-07-20
1,2025-07-27
3,2025-08-03
1,2025-08-10
1,2025-08-10
1,2025-08-30
1,2025-08-31
1,2025-09-07
2,2025-09-13
1,2025-09-13
1,2025-09-14
3,2025-09-14
1,2025-09-20
1,2025-09-20
1,2025-09-20
1,2025-09-28
3,2025-10-05
2,2025-10-05
1,2025-10-05
1,2025-10-12
1,2025-10-12
1,2025-10-18
1,2025-10-19
1,2025-10-26
1,2025-11-02
1,2025-11-16
1,2025-11-16
3,2025-11-22
1,2025-12-14
